id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-380073";"2019-08-07";"1";"Vente";"372060.0";"7.0";"None";"RUE JEAN XAMBILLY";"1512";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0138";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"105.0";"5.0";"S";"sols";"None";"None";"627.0";"None";"None";"000BI"
"2019-380047";"2019-08-05";"1";"Vente";"328600.0";"47.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4.0";"S";"sols";"None";"None";"608.0";"None";"None";"000BI"
"2019-379094";"2019-06-24";"1";"Vente";"570950.0";"6.0";"None";"IMP HENRI DUNANT";"0615";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"268.0";"None";"None";"000BI"
"2019-377699";"2019-05-28";"1";"Vente terrain à bâtir";"179000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0126";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"629.0";"None";"None";"000BI"
"2019-376961";"2019-05-07";"1";"Vente";"200000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0193";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"1067.0";"None";"None";"000BI"
"2019-375815";"2019-03-20";"1";"Vente terrain à bâtir";"179000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"629.0";"None";"None";"000BI"
"2018-418565";"2018-07-27";"1";"Vente";"379000.0";"57.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0058";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"118.0";"4.0";"S";"sols";"None";"None";"709.0";"None";"None";"000BI"
"2018-415719";"2018-04-13";"1";"Vente";"445000.0";"1.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0087";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"150.0";"6.0";"S";"sols";"None";"None";"607.0";"None";"None";"000BI"
"2018-415246";"2018-03-14";"1";"Vente";"126500.0";"nan";"None";"CHATEAU DE SALLEGOURDE";"B019";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0189";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"450.0";"None";"None";"000BI"
"2018-414872";"2018-02-22";"1";"Vente";"353000.0";"19.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0096";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"638.0";"None";"None";"000BI"
"2017-423375";"2017-10-16";"1";"Vente";"284200.0";"37.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"634.0";"None";"None";"000BI"
"2017-422543";"2017-09-28";"1";"Vente";"282000.0";"11.0";"None";"RUE JEAN ROLLAND PILLET";"0722";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0143";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"602.0";"None";"None";"000BI"
"2017-414890";"2017-02-03";"1";"Vente";"287000.0";"5.0";"None";"RUE JEAN XAMBILLY";"1512";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0140";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"622.0";"None";"None";"000BI"
"2016-373374";"2016-08-25";"1";"Vente";"286950.0";"71.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0051";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"107.0";"5.0";"S";"sols";"None";"None";"702.0";"None";"None";"000BI"
"2016-373374";"2016-08-25";"1";"Vente";"286950.0";"nan";"None";"CHATEAU DE SALLEGOURDE";"B019";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0078";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"ALLEE";"Allée (no groupe)";"110.0";"None";"None";"000BI"
"2016-372311";"2016-07-12";"1";"Vente";"350000.0";"63.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0055";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"133.0";"4.0";"S";"sols";"None";"None";"843.0";"None";"None";"000BI"
"2016-372311";"2016-07-12";"1";"Vente";"350000.0";"nan";"None";"CHATEAU DE SALLEGOURDE";"B019";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0079";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"ALLEE";"Allée (no groupe)";"96.0";"None";"None";"000BI"
"2016-372597";"2016-07-08";"1";"Vente";"314000.0";"49.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0061";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"128.0";"7.0";"S";"sols";"None";"None";"800.0";"None";"None";"000BI"
"2016-370730";"2016-05-27";"1";"Vente";"325000.0";"9.0";"None";"RUE JEAN XAMBILLY";"1512";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0137";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"161.0";"5.0";"AB";"Terrain à bâtir";"None";"None";"643.0";"None";"None";"000BI"
"2015-350193";"2015-12-01";"1";"Vente";"273000.0";"45.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0109";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"4.0";"S";"sols";"None";"None";"610.0";"None";"None";"000BI"
"2015-350744";"2015-11-30";"2";"Vente";"1.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0185";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"16641.0";"None";"None";"000BI"
"2015-350744";"2015-11-30";"2";"Vente";"1.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0162";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"35.0";"None";"None";"000BI"
"2015-350744";"2015-11-30";"2";"Vente";"1.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0085";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"FRICH";"Friche";"2342.0";"None";"None";"000BI"
"2015-349902";"2015-11-23";"1";"Vente";"323900.0";"19.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0096";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"638.0";"None";"None";"000BI"
"2015-348028";"2015-09-09";"1";"Vente";"244950.0";"22.0";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0088";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"639.0";"None";"None";"000BI"
"2015-344836";"2015-04-03";"1";"Vente";"285000.0";"3.0";"None";"ALL ETIENNE SABATIE";"1345";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0013";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"P";"prés";"None";"None";"580.0";"None";"None";"000BI"
"2015-344836";"2015-04-03";"1";"Vente";"285000.0";"3.0";"None";"ALL ETIENNE SABATIE";"1345";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0013";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"S";"sols";"None";"None";"716.0";"None";"None";"000BI"
"2015-344836";"2015-04-03";"1";"Vente";"285000.0";"3.0";"None";"ALL ETIENNE SABATIE";"1345";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0013";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"J";"jardins";"None";"None";"673.0";"None";"None";"000BI"
"2015-344836";"2015-04-03";"1";"Vente";"285000.0";"nan";"None";"RUE HENRI DUNANT";"0615";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"BT";"taillis simples";"ACACI";"Acacias";"346.0";"None";"None";"000BI"
"2014-323244";"2014-12-29";"1";"Vente";"390000.0";"33.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0065";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"5.0";"S";"sols";"None";"None";"1024.0";"None";"None";"000BI"
"2014-321230";"2014-09-12";"1";"Vente";"193050.0";"18.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0167";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"74.0";"3.0";"S";"sols";"None";"None";"319.0";"None";"None";"000BI"
"2014-316976";"2014-02-05";"1";"Vente";"189943.38";"22.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0173";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"3.0";"S";"sols";"None";"None";"387.0";"None";"None";"000BI"
"2014-316722";"2014-01-23";"1";"Vente";"191862.0";"20.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0171";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"3.0";"S";"sols";"None";"None";"357.0";"None";"None";"000BI"
