brand,model,prices,year,fuel,kms
citroen,c3 1.2 puretech 82 shine 5p,7400,2018,Essence,60309
peugeot,3008 1.6 hdi120 allure,14900,2017,Diesel,57652
renault,clio.iv 0.9 tce90 intens 5p,10250,2018,Essence,41155
nissan,x-trail 1.6 dci130 tekna ba,12900,2017,Diesel,56189
citroen,ds5 hybrid sport chic bmp6,8200,2013,GH,137249
volkswagen,tiguan 2.0 tdi150 carat ba,16150,2017,Diesel,58445
nissan,x-trail 1.6 dci130 tekna ba,13300,2017,Diesel,57156
opel,meriva 1.6 cdti110 cosmo ,6700,2016,Diesel,80570
renault,captur 1.5 dci90 business,9190,2017,Diesel,61360
citroen,c4 aircross 1.6 e-hdi115 feel edition,10700,2016,Diesel,74792
renault,clio.iv 0.9 tce90 business 5p,7300,2018,Essence,59421
nissan,x-trail 1.6 dci130 tekna,13100,2017,Diesel,59914
citroen,c4 picasso 1.6 hdi120 intensive eat6 ,9400,2015,Diesel,123074
renault,captur 1.5 dci90 intens ,8700,2017,Diesel,62741
opel,zafira 2.0 cdti170 cosmo pack  ,4400,2016,Diesel,128950
peugeot,108 1.2 puretech82 collection 5p ,6100,2017,Essence,16984
nissan,x-trail 1.6 dci130 tekna,12900,2017,Diesel,59965
renault,clio.iv 0.9 tce90 business 5p,6700,2017,Essence,59948
renault,megane.iv 1.5 dci90 business 5p,9800,2017,Diesel,48697
renault,captur 1.5 dci90 business,7900,2016,Diesel,67181
renault,captur 1.5 dci90 business ba,7900,2016,Diesel,69690
citroen,c5 2.0 hdi160 exclusive ba,5900,2011,Diesel,66658
nissan,x-trail 1.6 dci130 tekna,12500,2017,Diesel,67346
peugeot,3008 1.6 hdi120 gt line ba,15900,2017,Diesel,71818
peugeot,208 1.6 hdi100 active 5p,6400,2017,Diesel,84716
nissan,qashqai 1.5 dci110 acenta,8900,2017,Diesel,73732
toyota,yaris 90 d-4d technoline 5p,6900,2017,Diesel,98018
renault,captur 1.5 dci110 intens,8900,2017,Diesel,75088
renault,scenic.iii 1.5 dci110 business,4600,2013,Diesel,131144
nissan,qasqhai 1.6 dci130 tekna ba,11700,2017,Diesel,73878
renault,scenic.iii 1.5 dci110 business,6490,2015,Diesel,98488
peugeot,5008 1.6 hdi120 gt line ba,16900,2017,Diesel,76249
citroen,c4 1.6 hdi100 millenium 5p,8900,2017,Diesel,107459
nissan,x-trail 1.6 dci130 tekna ba,12700,2017,Diesel,79532
renault,kadjar 1.6 dci130 black edition,11300,2017,Diesel,81863
citroen,c4 picasso 1.6 e-hdi115 confort etg6,4730,2013,Diesel,132669
nissan,juke 1.5 dci110 n-connecta,8400,2017,Diesel,84127
nissan,x-trail 1.6 dci130 tekna,11400,2017,Diesel,97079
peugeot,208 1.2 puretech110 roland garros 5p,7400,2016,Essence,72357
renault,kadjar 1.6 dci130 intens,10900,2016,Diesel,53058
peugeot,208 1.6 hdi100 active business 5p,5900,2017,Diesel,106412
peugeot,3008 1.6 hdi120 style,9600,2016,Diesel,75350
peugeot,ion electrique active,4400,2015,Electrique,41892
renault,kadjar 1.6 dci130 intens,9900,2016,Diesel,54300
peugeot,208 1.6 hdi100 active 5p,7900,2016,Diesel,72969
renault,captur 1.5 dci90 intens ,6300,2016,Diesel,89402
volkswagen,polo 1.6 tdi90 sportline 5p,4300,2011,Diesel,94130
nissan,x-trail 1.6 dci130 tekna,11700,2016,Diesel,94247
renault,megane.iii.brk 1.5 dci110 business ba,5900,2015,Diesel,146713
hyundai,ix35 1.7 crdi115 pack premium,8200,2014,Diesel,99834
